target name	accession	query name	accession2	E-value_full_sequence	score_full_sequence	bias_full_sequence	E-value_best_first_domain	score_best_first_domain	bias_best_first_domain	exp	reg	clu	ov	env	dom	rep	inc	Description_target
GCA_000017945-FLGBHGLA_11330	-	COG1350	-	1.9e-202	669.5	0.0	2.2e-202	669.4	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06740	-	COG0085	-	3.2e-201	667.7	0.0	5e-111	369.1	0.0	2.5	2	1	0	2	2	2	2	-
GCA_000008085-CALJACFG_03650	-	COG1067	-	1e-200	665.6	0.6	1.3e-200	665.3	0.6	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_03280	-	COG5257	-	6.4e-201	664.7	0.0	7.2e-201	664.6	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_13270	-	COG1204	-	4.9e-197	653.7	3.4	6.3e-197	653.3	3.4	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_02900	-	COG1241	-	2.9e-195	647.3	7.4	3.6e-195	647.0	7.4	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_02600	-	COG0525	-	5.7e-193	640.5	5.6	6.9e-193	640.2	5.6	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_00880	-	COG5256	-	2e-193	639.5	2.2	2.3e-193	639.3	2.2	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_01730	-	COG0449	-	8.3e-191	632.5	0.0	9.3e-191	632.4	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_08530	-	COG1964	-	9.5e-191	631.5	0.0	1.3e-190	631.1	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_01930	-	COG1201	-	7.3e-190	630.5	0.0	1e-189	630.0	0.0	1.2	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09920	-	COG1224	-	2.9e-189	626.4	7.0	3.3e-189	626.3	7.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_11220	-	COG1389	-	5.8e-187	619.7	4.2	7.1e-187	619.5	4.2	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_01490	-	COG1389	-	1.1e-186	618.9	9.7	1.3e-186	618.6	9.7	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_11460	-	COG0574	-	5.3e-186	617.2	0.2	6.4e-186	616.9	0.2	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_03690	-	COG1980	-	7.1e-185	611.3	0.0	8.8e-185	611.0	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_07400	-	COG5270	-	3.6e-184	610.7	4.6	4.4e-184	610.5	4.6	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_02460	-	COG0086	-	3.1e-182	605.1	0.0	4e-182	604.7	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05290	-	COG0145	-	5.9e-182	603.6	0.5	6.6e-182	603.4	0.5	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14300	-	COG0480	-	1.6e-181	602.2	0.1	2.5e-181	601.5	0.1	1.2	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00400	-	COG0499	-	3.8e-180	596.1	0.5	4.2e-180	595.9	0.5	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_01770	-	COG0630	-	9.4e-179	592.4	0.0	1.2e-178	592.0	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_01260	-	COG1542	-	5.6e-178	590.0	6.3	6.4e-178	589.8	6.3	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10370	-	COG0148	-	2.7e-178	590.0	0.0	3e-178	589.8	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_05720	-	COG0480	-	1e-177	589.6	1.0	1.4e-177	589.2	1.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_04340	-	COG0423	-	3.1e-177	586.8	0.2	4e-177	586.4	0.2	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_11900	-	COG0143	-	5.1e-177	586.8	0.0	6e-177	586.6	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_01050	-	COG0422	-	5e-176	583.4	0.0	5.9e-176	583.2	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_07310	-	COG1031	-	8e-176	583.0	0.0	9.9e-176	582.7	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05920	-	COG0043	-	6.8e-176	582.4	0.0	8.5e-176	582.1	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09600	-	COG0065	-	1.7e-175	580.9	1.2	1.9e-175	580.7	1.2	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10200	-	COG0215	-	4.2e-175	579.9	0.1	4.7e-175	579.8	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05880	-	COG0423	-	3.9e-173	573.2	0.0	4.8e-173	573.0	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_11300	-	COG0028	-	2e-172	571.8	0.5	2.5e-172	571.5	0.5	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_00440	-	COG2317	-	2e-172	571.4	1.9	2.2e-172	571.3	1.9	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00250	-	COG2414	-	1.2e-171	569.3	0.0	1.4e-171	569.0	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10950	-	COG0538	-	4.6e-170	562.6	0.0	5.1e-170	562.5	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06580	-	COG0137	-	6.2e-169	560.6	0.1	7.4e-169	560.4	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_01590	-	COG1812	-	4.2e-169	559.4	1.1	4.7e-169	559.2	1.1	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_05290	-	COG0086	-	7.5e-166	550.9	0.0	9.8e-166	550.5	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06160	-	COG2368	-	3.7e-165	546.9	0.1	4.5e-165	546.6	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00380	-	COG1245	-	4.2e-164	543.8	0.0	4.9e-164	543.6	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09570	-	COG0018	-	7.5e-164	543.4	0.0	9.3e-164	543.1	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14070	-	COG5270	-	5.9e-163	540.7	0.6	7.1e-163	540.4	0.6	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_02590	-	COG0365	-	8.1e-163	540.2	3.5	8.8e-163	540.1	3.5	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10310	-	COG0370	-	1.1e-162	539.8	14.2	1.2e-162	539.6	14.2	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00130	-	COG0064	-	2.2e-162	538.3	0.0	2.5e-162	538.1	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_02790	-	COG0029	-	4.9e-162	536.9	0.9	6.2e-162	536.5	0.9	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_11190	-	COG0065	-	1.8e-161	534.7	0.1	2e-161	534.5	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10000	-	COG2046	-	1.9e-160	530.6	0.0	2.3e-160	530.3	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00090	-	COG1782	-	5.6e-160	529.6	0.0	7.5e-160	529.2	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14630	-	COG0027	-	1.1e-159	528.5	1.0	1.3e-159	528.2	1.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_01330	-	COG4027	-	1.4e-158	525.0	0.3	1.6e-158	524.9	0.3	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_13670	-	COG1966	-	3.6e-158	524.7	44.7	4.4e-158	524.5	44.7	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10390	-	COG0630	-	4.2e-158	524.2	0.1	5.5e-158	523.9	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_04790	-	COG0143	-	8.9e-158	523.3	0.1	1.2e-82	275.4	0.0	2.1	1	1	1	2	2	2	2	-
GCA_000008085-CALJACFG_00800	-	COG1782	-	1.4e-157	521.7	0.0	1.7e-157	521.5	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_04000	-	COG1690	-	1.2e-156	518.9	0.0	1.5e-156	518.6	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_00560	-	COG0215	-	2e-156	518.4	0.1	2.3e-156	518.2	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_01340	-	COG2192	-	4.4e-156	518.0	0.0	5.6e-156	517.7	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09720	-	COG1759	-	5.3e-154	509.3	0.0	5.9e-154	509.1	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_02780	-	COG5257	-	1.4e-153	508.8	0.1	1.6e-153	508.6	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_01480	-	COG0459	-	3.8e-153	508.0	32.6	4.9e-153	507.7	32.6	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14210	-	COG3635	-	4.3e-152	503.4	0.2	4.9e-152	503.2	0.2	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_04160	-	COG0069	-	9.5e-149	493.7	1.1	2.8e-147	488.9	0.5	2.0	1	1	0	2	2	2	2	-
GCA_000017945-FLGBHGLA_12670	-	COG0174	-	1.3e-148	492.3	0.0	1.5e-148	492.1	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00070	-	COG0550	-	4.3e-148	491.7	0.0	5.1e-148	491.4	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_04040	-	COG1111	-	6.6e-148	491.5	12.8	8.1e-148	491.2	12.8	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_03290	-	COG0113	-	2.5e-148	490.7	0.0	2.8e-148	490.6	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_02730	-	COG1156	-	7.6e-147	486.5	0.0	9.1e-147	486.2	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05070	-	COG3044	-	2.4e-146	485.6	0.0	7.9e-146	483.9	0.0	1.7	1	1	0	1	1	1	1	-
GCA_000008085-CALJACFG_00810	-	COG0334	-	4.4e-146	483.9	1.2	4.8e-146	483.7	1.2	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10740	-	COG0541	-	6.2e-146	483.6	4.8	7.4e-146	483.4	4.8	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14390	-	COG2433	-	1.4e-145	483.3	20.0	1.6e-145	483.1	20.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_00830	-	COG1690	-	8.8e-146	483.1	0.0	9.7e-146	483.0	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_01570	-	COG0214	-	5.2e-146	482.6	9.4	6.3e-146	482.3	9.4	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_03110	-	COG1245	-	4.2e-145	481.2	0.1	4.8e-145	481.0	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05630	-	COG1009	-	2.2e-144	479.4	52.5	2.9e-144	479.0	52.5	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_02490	-	COG1311	-	1.4e-144	479.3	4.1	1.6e-144	479.2	4.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14820	-	COG0017	-	4.1e-144	477.6	0.0	4.6e-144	477.5	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_00940	-	COG1384	-	6.7e-144	477.1	7.5	8.2e-144	476.8	7.5	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06030	-	COG1163	-	4.5e-144	477.1	0.0	5e-144	476.9	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_04550	-	COG1759	-	3.9e-144	476.8	0.0	4.3e-144	476.7	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_02340	-	COG2848	-	1.6e-143	475.5	0.1	1.8e-143	475.4	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10190	-	COG0172	-	1.6e-143	475.5	0.3	2e-143	475.1	0.3	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_02960	-	COG0146	-	2e-142	472.7	0.1	2.4e-142	472.4	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06290	-	COG0059	-	3.7e-142	470.2	0.0	4.5e-142	469.9	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05350	-	COG0182	-	4.8e-142	469.7	0.2	5.3e-142	469.6	0.2	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14830	-	COG2876	-	7e-142	469.4	0.0	8e-142	469.2	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00870	-	COG0045	-	9.5e-141	466.1	5.0	1.1e-140	465.9	5.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_11490	-	COG4046	-	1e-140	465.8	5.6	1.1e-140	465.7	5.6	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_04680	-	COG4147	-	6.3e-140	463.8	44.5	7e-140	463.6	44.5	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00970	-	COG0459	-	4.7e-139	461.6	28.7	5.6e-139	461.3	28.7	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_07010	-	COG1951	-	7.6e-139	460.3	0.0	8.7e-139	460.1	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10890	-	COG1250	-	2.3e-138	458.8	2.7	6.3e-114	378.3	0.2	2.1	1	1	1	2	2	2	2	-
GCA_000017945-FLGBHGLA_10640	-	COG0498	-	1e-137	456.7	0.2	1.2e-137	456.5	0.2	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_04070	-	COG0015	-	3.8e-137	454.8	5.9	4.3e-137	454.6	5.9	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_03460	-	COG1892	-	2.2e-136	452.3	0.0	2.5e-136	452.1	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09310	-	COG0034	-	3.4e-136	451.7	0.0	4e-136	451.5	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06440	-	COG0677	-	1.6e-135	448.8	0.1	1.8e-135	448.6	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09260	-	COG0459	-	5.2e-135	448.2	25.9	6.3e-135	448.0	25.9	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10130	-	COG0119	-	4.9e-135	447.8	3.1	6.2e-135	447.5	3.1	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_00710	-	COG0417	-	1.3e-134	447.3	22.9	1.7e-134	447.0	22.9	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_04790	-	COG1384	-	1.5e-134	446.3	0.1	1.7e-134	446.1	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_11230	-	COG0112	-	1.1e-134	446.1	0.2	1.3e-134	445.9	0.2	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_07060	-	COG0001	-	2.6e-134	445.0	0.0	2.9e-134	444.9	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05470	-	COG0082	-	6.6e-134	442.9	0.0	7.8e-134	442.7	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_03470	-	COG1258	-	1.3e-133	442.5	2.4	1.6e-133	442.2	2.4	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_07620	-	COG0260	-	1.5e-131	436.7	0.0	1.8e-131	436.5	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_01510	-	COG0495	-	3.3e-131	435.9	0.3	7.1e-78	259.5	0.0	2.3	1	1	1	2	2	2	2	-
GCA_000017945-FLGBHGLA_04330	-	COG1973	-	3.3e-131	435.1	0.0	4.4e-131	434.7	0.0	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09890	-	COG1151	-	2.1e-130	432.8	0.0	7.7e-119	394.5	0.0	2.0	1	1	1	2	2	2	2	-
GCA_000017945-FLGBHGLA_04220	-	COG0409	-	3.6e-130	431.1	0.0	4.6e-130	430.7	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_04290	-	COG0260	-	2e-129	429.8	0.0	2.2e-129	429.6	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_05650	-	COG0017	-	1.9e-128	426.0	0.4	2.3e-128	425.7	0.4	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05480	-	COG0430	-	1.1e-126	419.4	0.0	1.4e-126	419.2	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_01060	-	COG1415	-	2.1e-126	418.8	0.0	2.6e-126	418.5	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09160	-	COG1750	-	7.6e-126	418.3	13.2	8.4e-126	418.2	13.2	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00010	-	COG0532	-	1.1e-125	417.9	8.6	1.9e-125	417.1	8.6	1.3	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10840	-	COG1697	-	5.4e-126	417.6	3.9	6e-126	417.5	3.9	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_03500	-	COG2509	-	2.3e-125	416.0	0.0	2.6e-125	415.9	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_03220	-	COG0172	-	6.5e-125	414.2	4.9	1.9e-124	412.7	4.9	1.6	1	1	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_05590	-	COG0649	-	4.1e-124	411.2	0.0	6e-124	410.7	0.0	1.3	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_02000	-	COG2100	-	5.2e-124	410.8	0.1	5.7e-124	410.7	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_06080	-	COG1222	-	1.4e-123	410.1	0.5	1.7e-123	409.7	0.5	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_01320	-	COG1454	-	2.6e-123	408.7	0.0	3.3e-123	408.4	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_02770	-	COG0126	-	3.2e-123	408.5	0.2	3.8e-123	408.3	0.2	1.0	1	0	0	1	1	1	1	-
GCA_000008085-CALJACFG_05200	-	COG1444	-	8.6e-123	408.0	0.0	1.1e-122	407.6	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_08760	-	COG1746	-	7e-123	407.5	0.0	7.8e-123	407.3	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_07180	-	COG1679	-	1.4e-122	406.2	0.0	1.6e-122	406.1	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09910	-	COG2409	-	2.9e-122	406.1	15.1	3.9e-122	405.6	15.1	1.1	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_07980	-	COG0107	-	1e-122	405.2	0.1	1.2e-122	404.9	0.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_13830	-	COG0444	-	3e-122	404.7	0.0	3.6e-122	404.4	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_11350	-	COG0626	-	2.1e-121	402.7	0.0	2.5e-121	402.5	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_13330	-	COG0004	-	3e-121	402.2	35.8	3.6e-121	401.9	35.8	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_08860	-	COG1167	-	5.3e-121	401.7	0.0	6.4e-121	401.4	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_14340	-	COG0078	-	5.8e-121	400.4	0.0	6.4e-121	400.2	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_07510	-	COG0002	-	1.2e-120	399.9	0.0	1.3e-120	399.7	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_09120	-	COG1109	-	1.8e-120	399.8	0.0	2.2e-120	399.5	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_08950	-	COG1060	-	2.4e-120	399.0	0.0	3e-120	398.7	0.0	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_10120	-	COG0473	-	2.7e-120	398.7	1.1	3.3e-120	398.5	1.1	1.0	1	0	0	1	1	1	1	-
GCA_000017945-FLGBHGLA_00860	-	COG0074	-	2.6e-120	398.1	10.6	3.1e-120	397.9	10.6	1.0	1	0	0	1	1	1	1	-
