accession	TopHit	E_value	PecID	TaxID	TaxString
GCA_000008085-CALJACFG_00170	Q74N46.1_RecName:_Full=CRISPR-associated_endoribonuclease_Cas2	7.7e-39	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00180	Q74N45.1_RecName:_Full=CRISPR-associated_endonuclease_Cas1	7.4e-186	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00190	AAR38873.1_NEQ018_[Nanoarchaeum_equitans_Kin4-M]	3.2e-210	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00200	AAR38874.1_NEQ019_[Nanoarchaeum_equitans_Kin4-M]	2.3e-176	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00210	AAR38875.1_NEQ020_[Nanoarchaeum_equitans_Kin4-M]	1.9e-132	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00220	AAR38876.1_NEQ022_[Nanoarchaeum_equitans_Kin4-M]	0.0e+00	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00230	AAR38877.1_NEQ021_[Nanoarchaeum_equitans_Kin4-M]	1.2e-91	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00240	PVU68831.1_hypothetical_protein_DDW03_00620_[Candidatus_Nanobsidianus_stetteri]	5.6e-13	54.3	1294122	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanopusillaceae,Candidatus_Nanobsidianus,Candidatus_Nanobsidianus_stetteri
GCA_000008085-CALJACFG_00250	AAR38878.1_NEQ023_[Nanoarchaeum_equitans_Kin4-M]	2.2e-165	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00260	AAR38879.1_NEQ024_[Nanoarchaeum_equitans_Kin4-M]	1.9e-211	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00270	AAR38880.1_NEQ025_[Nanoarchaeum_equitans_Kin4-M]	4.1e-144	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00280	AAR38881.1_NEQ026_[Nanoarchaeum_equitans_Kin4-M]	8.3e-48	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00290	AAR38882.1_NEQ028_[Nanoarchaeum_equitans_Kin4-M]	3.5e-177	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00300	AAR38883.1_NEQ027_[Nanoarchaeum_equitans_Kin4-M]	4.4e-208	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00310	AAR38884.1_NEQ029_[Nanoarchaeum_equitans_Kin4-M]	1.3e-66	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00320	AAR38885.1_NEQ030_[Nanoarchaeum_equitans_Kin4-M]	1.8e-100	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00330	AAR38886.1_NEQ031_[Nanoarchaeum_equitans_Kin4-M]	2.9e-85	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00340	AAR38887.1_NEQ032_[Nanoarchaeum_equitans_Kin4-M]	3.0e-215	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00350	AAR38888.1_NEQ033_[Nanoarchaeum_equitans_Kin4-M]	2.0e-303	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00360	AAR38889.1_NEQ034_[Nanoarchaeum_equitans_Kin4-M]	1.5e-91	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00370	AAR38890.1_NEQ035_[Nanoarchaeum_equitans_Kin4-M]	6.5e-257	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00380	AAR38891.1_NEQ036_[Nanoarchaeum_equitans_Kin4-M]	5.7e-43	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00390	Q74N55.1_RecName:_Full=50S_ribosomal_protein_L37Ae;_AltName:_Full=Ribosomal_protein_L43e	1.6e-44	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00400	AAR38893.1_NEQ037_[Nanoarchaeum_equitans_Kin4-M]	1.8e-27	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00410	AAR38894.1_NEQ039_[Nanoarchaeum_equitans_Kin4-M]	2.5e-118	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00420	AAR38895.1_NEQ041_[Nanoarchaeum_equitans_Kin4-M]	6.1e-117	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00430	AAR38896.1_NEQ040_[Nanoarchaeum_equitans_Kin4-M]	2.9e-148	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00440	AAR38897.1_NEQ042_[Nanoarchaeum_equitans_Kin4-M]	3.8e-284	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00450	AAR38898.1_NEQ043_[Nanoarchaeum_equitans_Kin4-M]	1.1e-40	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00460	AAR38899.1_NEQ044_[Nanoarchaeum_equitans_Kin4-M]	2.0e-103	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00470	AAR38900.1_NEQ045_[Nanoarchaeum_equitans_Kin4-M]	6.8e-234	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00480	AAR38902.1_NEQ047_[Nanoarchaeum_equitans_Kin4-M]	5.1e-107	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00490	AAR38903.1_NEQ048_[Nanoarchaeum_equitans_Kin4-M]	3.1e-147	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00500	AAR38904.1_NEQ050_[Nanoarchaeum_equitans_Kin4-M]	1.9e-279	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00510	AAR38905.1_NEQ049_[Nanoarchaeum_equitans_Kin4-M]	2.6e-129	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00520	AAR38906.1_NEQ051_[Nanoarchaeum_equitans_Kin4-M]	1.2e-117	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00530	AAR38907.1_NEQ052_[Nanoarchaeum_equitans_Kin4-M]	8.7e-201	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00540	Q74N58.1_RecName:_Full=Uncharacterized_RNA_methyltransferase_NEQ053	4.2e-261	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00550	AAR38909.1_NEQ054_[Nanoarchaeum_equitans_Kin4-M]	1.4e-55	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00560	Q74MI1.1_RecName:_Full=Cysteine--tRNA_ligase;_AltName:_Full=Cysteinyl-tRNA_synthetase;_Short=CysRS	1.1e-269	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00570	AAR38911.1_NEQ057_[Nanoarchaeum_equitans_Kin4-M]	1.7e-185	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00580	AAR38912.1_NEQ056_[Nanoarchaeum_equitans_Kin4-M]	1.4e-98	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00590	Q74MH8.1_RecName:_Full=30S_ribosomal_protein_S12	5.6e-74	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00600	AAR38914.1_NEQ059_[Nanoarchaeum_equitans_Kin4-M]	0.0e+00	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00610	AAR38915.1_NEQ060_[Nanoarchaeum_equitans_Kin4-M]	1.7e-96	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00620	-	-	-	-	-
GCA_000008085-CALJACFG_00630	AAR38916.1_NEQ061_[Nanoarchaeum_equitans_Kin4-M]	3.9e-135	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00640	AAR38917.1_NEQ062_[Nanoarchaeum_equitans_Kin4-M]	3.6e-291	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00650	Q74MH3.1_RecName:_Full=Ribonuclease_HII;_Short=RNase_HII	8.5e-105	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00660	Q74MH2.1_RecName:_Full=Ribonuclease_Z;_Short=RNase_Z;_AltName:_Full=tRNA_3_endonuclease;_AltName:_Full=tRNase_Z	6.3e-179	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00670	Q74N77.1_RecName:_Full=50S_ribosomal_protein_L23	8.4e-32	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00680	-	-	-	-	-
GCA_000008085-CALJACFG_00690	AAR38921.1_NEQ066_[Nanoarchaeum_equitans_Kin4-M]	3.9e-105	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00700	AAR38922.1_NEQ067_[Nanoarchaeum_equitans_Kin4-M]	2.4e-141	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00710	AAR38923.1_NEQ068_[Nanoarchaeum_equitans_Kin4-M]	0.0e+00	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00720	Q74N73.1_RecName:_Full=30S_ribosomal_protein_S11	1.7e-66	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00730	AAR38925.1_NEQ070_[Nanoarchaeum_equitans_Kin4-M]	1.0e-150	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00740	AAR38926.1_NEQ072_[Nanoarchaeum_equitans_Kin4-M]	1.9e-124	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00750	AAR38927.1_NEQ071_[Nanoarchaeum_equitans_Kin4-M]	4.2e-89	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00760	AAR38928.1_NEQ073_[Nanoarchaeum_equitans_Kin4-M]	7.5e-103	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00770	-	-	-	-	-
GCA_000008085-CALJACFG_00780	AAR38929.1_NEQ074_[Nanoarchaeum_equitans_Kin4-M]	4.8e-105	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00790	Q74MJ4.1_RecName:_Full=50S_ribosomal_protein_L18	2.2e-105	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00800	AAR38931.1_NEQ076_[Nanoarchaeum_equitans_Kin4-M]	0.0e+00	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00810	AAR38932.1_NEQ077_[Nanoarchaeum_equitans_Kin4-M]	1.5e-228	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00820	AAR38933.1_NEQ077a_[Nanoarchaeum_equitans_Kin4-M]	3.9e-153	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00830	Q74MJ0.1_RecName:_Full=tRNA-splicing_ligase_RtcB	2.4e-275	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00840	RDD52477.1_DUF357_domain-containing_protein_[Nanoarchaeota_archaeon_NZ13-N]	1.1e-16	56.8	1852704	Archaea,Nanoarchaeota,none,none,none,none,Nanoarchaeota_archaeon_NZ13-N
GCA_000008085-CALJACFG_00850	AAR38935.1_NEQ079_[Nanoarchaeum_equitans_Kin4-M]	1.9e-183	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00860	AAR38936.1_NEQ080_[Nanoarchaeum_equitans_Kin4-M]	2.0e-225	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00870	AAR38937.1_NEQ081_[Nanoarchaeum_equitans_Kin4-M]	1.7e-108	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00880	Q74MI6.1_RecName:_Full=Elongation_factor_1-alpha;_Short=EF-1-alpha;_AltName:_Full=Elongation_factor_Tu;_Short=EF-Tu	6.3e-246	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00890	Q74MI5.1_RecName:_Full=30S_ribosomal_protein_S10	2.0e-52	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00900	AAR38940.1_NEQ084_[Nanoarchaeum_equitans_Kin4-M]	7.5e-197	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00910	AAR38941.1_NEQ085_[Nanoarchaeum_equitans_Kin4-M]	6.1e-91	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00920	AAR38942.1_NEQ086_[Nanoarchaeum_equitans_Kin4-M]	6.6e-223	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00930	P61942.1_RecName:_Full=Flap_endonuclease_1;_Short=FEN-1;_AltName:_Full=Flap_structure-specific_endonuclease_1	7.7e-191	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00940	AAR38944.1_NEQ087_[Nanoarchaeum_equitans_Kin4-M]	0.0e+00	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00950	AAR38945.1_NEQ089_[Nanoarchaeum_equitans_Kin4-M]	5.2e-122	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00960	AAR38946.1_NEQ090_[Nanoarchaeum_equitans_Kin4-M]	1.1e-199	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00970	AAR38947.1_NEQ091_[Nanoarchaeum_equitans_Kin4-M]	9.9e-123	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00980	Q74N81.1_RecName:_Full=50S_ribosomal_protein_L14	2.0e-65	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_00990	-	-	-	-	-
GCA_000008085-CALJACFG_01000	AAR38949.1_NEQ094_[Nanoarchaeum_equitans_Kin4-M]	4.4e-104	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01010	Q74N79.1_RecName:_Full=50S_ribosomal_protein_L5	3.2e-89	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01020	AAR38951.1_NEQ095_[Nanoarchaeum_equitans_Kin4-M]	1.1e-98	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01030	AAR38952.1_NEQ096_[Nanoarchaeum_equitans_Kin4-M]	1.0e-156	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01040	AAR38953.1_NEQ097_[Nanoarchaeum_equitans_Kin4-M]	3.2e-121	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01050	AAR38954.1_NEQ098_[Nanoarchaeum_equitans_Kin4-M]	5.6e-147	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01060	AAR38955.1_NEQ099_[Nanoarchaeum_equitans_Kin4-M]	2.2e-145	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01070	AAR38956.1_NEQ100_[Nanoarchaeum_equitans_Kin4-M]	1.9e-172	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
GCA_000008085-CALJACFG_01080	P62446.1_RecName:_Full=50S_ribosomal_protein_L11	4.8e-82	100.0	228908	Archaea,Nanoarchaeota,none,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum_equitans
