locus_tag	ftype	length_bp	gene	EC_number	COG	product
FLGBHGLA_00380	CDS	1815	wtpC_1	3.6.3.-	COG3839	Molybdate/tungstate import ATP-binding protein WtpC
FLGBHGLA_00380	gene	1815	wtpC_1			
FLGBHGLA_00390	CDS	168	cren7			Chromatin protein Cren7
FLGBHGLA_00390	gene	168	cren7			
FLGBHGLA_00400	CDS	1245	ahcY	3.3.1.1		Adenosylhomocysteinase
FLGBHGLA_00400	gene	1245	ahcY			
FLGBHGLA_00410	CDS	894		2.7.1.213	COG0524	Nucleoside kinase
FLGBHGLA_00410	gene	894				
FLGBHGLA_00420	CDS	114				hypothetical protein
FLGBHGLA_00420	gene	114				
FLGBHGLA_00430	CDS	663	hydG	1.12.98.4	COG0543	Sulfhydrogenase 1 subunit gamma
FLGBHGLA_00430	gene	663	hydG			
FLGBHGLA_00440	CDS	474	pyrI		COG1781	Aspartate carbamoyltransferase regulatory chain
FLGBHGLA_00440	gene	474	pyrI			
FLGBHGLA_00450	CDS	918	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase
FLGBHGLA_00450	gene	918	pyrB			
FLGBHGLA_00460	CDS	2040				hypothetical protein
FLGBHGLA_00460	gene	2040				
FLGBHGLA_00470	CDS	423	vapC9	3.1.-.-	COG1412	Ribonuclease VapC9
FLGBHGLA_00470	gene	423	vapC9			
FLGBHGLA_00480	CDS	1098	ccsA_1			Cytochrome c biogenesis protein CcsA
FLGBHGLA_00480	gene	1098	ccsA_1			
FLGBHGLA_00490	CDS	396				hypothetical protein
FLGBHGLA_00490	gene	396				
FLGBHGLA_00500	CDS	738				hypothetical protein
FLGBHGLA_00500	gene	738				
FLGBHGLA_00510	CDS	735				hypothetical protein
FLGBHGLA_00510	gene	735				
FLGBHGLA_00520	CDS	1158	rlmI_1	2.1.1.191		Ribosomal RNA large subunit methyltransferase I
FLGBHGLA_00520	gene	1158	rlmI_1			
FLGBHGLA_00530	CDS	867		2.7.8.39	COG0558	Archaetidylinositol phosphate synthase
FLGBHGLA_00530	gene	867				
FLGBHGLA_00540	CDS	1761		3.6.4.12	COG1199	ATP-dependent DNA helicase
FLGBHGLA_00540	gene	1761				
FLGBHGLA_00550	CDS	429				hypothetical protein
FLGBHGLA_00550	gene	429				
FLGBHGLA_00560	CDS	732				hypothetical protein
FLGBHGLA_00560	gene	732				
FLGBHGLA_00570	CDS	774			COG0668	Large-conductance mechanosensitive channel MscMJLR
FLGBHGLA_00570	gene	774				
FLGBHGLA_00580	CDS	846	lysX	6.3.2.43	COG0189	Alpha-aminoadipate--LysW ligase LysX
FLGBHGLA_00580	gene	846	lysX			
FLGBHGLA_00590	CDS	720		5.2.1.8	COG1047	Putative FKBP-type peptidyl-prolyl cis-trans isomerase
FLGBHGLA_00590	gene	720				
FLGBHGLA_00600	CDS	525				hypothetical protein
FLGBHGLA_00600	gene	525				
FLGBHGLA_00610	CDS	672				hypothetical protein
FLGBHGLA_00610	gene	672				
FLGBHGLA_00620	CDS	1326	dnaG	2.7.7.-	COG0358	DNA primase DnaG
FLGBHGLA_00620	gene	1326	dnaG			
FLGBHGLA_00630	CDS	2361	pol	2.7.7.7		DNA polymerase
FLGBHGLA_00630	gene	2361	pol			
FLGBHGLA_00640	CDS	372				hypothetical protein
FLGBHGLA_00640	gene	372				
FLGBHGLA_00650	CDS	642				hypothetical protein
FLGBHGLA_00650	gene	642				
FLGBHGLA_00660	CDS	321			COG0051	30S ribosomal protein S10
FLGBHGLA_00660	gene	321				
FLGBHGLA_00670	CDS	1059	norW	1.18.1.-		Nitric oxide reductase FlRd-NAD(+) reductase
FLGBHGLA_00670	gene	1059	norW			
FLGBHGLA_00680	CDS	981	trm4_1	2.1.1.-	COG0144	tRNA (cytosine(48)-C(5))-methyltransferase
FLGBHGLA_00680	gene	981	trm4_1			
FLGBHGLA_00690	CDS	753				hypothetical protein
FLGBHGLA_00690	gene	753				
FLGBHGLA_00700	CDS	723				hypothetical protein
FLGBHGLA_00700	gene	723				
FLGBHGLA_00710	CDS	1302			COG1498	putative NOP5 family protein
FLGBHGLA_00710	gene	1302				
FLGBHGLA_00720	CDS	693				hypothetical protein
FLGBHGLA_00720	gene	693				
FLGBHGLA_00730	CDS	924				hypothetical protein
FLGBHGLA_00730	gene	924				
FLGBHGLA_00740	CDS	1068				hypothetical protein
FLGBHGLA_00740	gene	1068				
FLGBHGLA_00750	CDS	801				hypothetical protein
FLGBHGLA_00750	gene	801				
FLGBHGLA_00760	CDS	378				hypothetical protein
FLGBHGLA_00760	gene	378				
FLGBHGLA_00770	CDS	186				hypothetical protein
FLGBHGLA_00770	gene	186				
FLGBHGLA_00780	CDS	1914	gatE	6.3.5.-	COG2511	Glutamyl-tRNA(Gln) amidotransferase subunit E
FLGBHGLA_00780	gene	1914	gatE			
FLGBHGLA_00790	CDS	1071	priL		COG2219	DNA primase large subunit PriL
FLGBHGLA_00790	gene	1071	priL			
FLGBHGLA_00800	CDS	684				hypothetical protein
FLGBHGLA_00800	gene	684				
FLGBHGLA_00810	CDS	357	rhaS			HTH-type transcriptional activator RhaS
FLGBHGLA_00810	gene	357	rhaS			
FLGBHGLA_00820	CDS	4179				hypothetical protein
FLGBHGLA_00820	gene	4179				
FLGBHGLA_00830	CDS	519				hypothetical protein
FLGBHGLA_00830	gene	519				
FLGBHGLA_00840	CDS	213	spt4		COG2093	Transcription elongation factor Spt4
FLGBHGLA_00840	gene	213	spt4			
FLGBHGLA_00850	CDS	534	rpoE	2.7.7.6	COG1095	DNA-directed RNA polymerase subunit E
FLGBHGLA_00850	gene	534	rpoE			
FLGBHGLA_00860	CDS	891	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
FLGBHGLA_00860	gene	891	sucD			
FLGBHGLA_00870	CDS	1131		6.2.1.13	COG1042	Acetate--CoA ligase [ADP-forming] II
FLGBHGLA_00870	gene	1131				
FLGBHGLA_00880	CDS	447	pfdA_1		COG1730	Prefoldin subunit alpha
FLGBHGLA_00880	gene	447	pfdA_1			
FLGBHGLA_00890	CDS	213				hypothetical protein
FLGBHGLA_00890	gene	213				
FLGBHGLA_00900	CDS	747	cobA	2.1.1.107		Uroporphyrinogen-III C-methyltransferase
FLGBHGLA_00900	gene	747	cobA			
FLGBHGLA_00910	CDS	705				hypothetical protein
FLGBHGLA_00910	gene	705				
FLGBHGLA_00920	CDS	159				hypothetical protein
FLGBHGLA_00920	gene	159				
FLGBHGLA_00930	CDS	615				hypothetical protein
FLGBHGLA_00930	gene	615				
FLGBHGLA_00940	CDS	648				hypothetical protein
FLGBHGLA_00940	gene	648				
FLGBHGLA_00950	CDS	405				hypothetical protein
FLGBHGLA_00950	gene	405				
FLGBHGLA_00960	CDS	309				hypothetical protein
FLGBHGLA_00960	gene	309				
	repeat_region	358				
FLGBHGLA_00970	CDS	1677	thsA		COG0459	Thermosome subunit alpha
FLGBHGLA_00970	gene	1677	thsA			
FLGBHGLA_00980	CDS	816				hypothetical protein
FLGBHGLA_00980	gene	816				
FLGBHGLA_00990	CDS	1065				hypothetical protein
FLGBHGLA_00990	gene	1065				
FLGBHGLA_01000	CDS	414				hypothetical protein
FLGBHGLA_01000	gene	414				
FLGBHGLA_01010	CDS	1026	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
FLGBHGLA_01010	gene	1026	pepQ			
FLGBHGLA_01020	CDS	537	cdvB2		COG5491	Cell division protein B2
FLGBHGLA_01020	gene	537	cdvB2			
FLGBHGLA_01030	CDS	1056	hmeD		COG0247	Hdr-like menaquinol oxidoreductase iron-sulfur subunit 2
FLGBHGLA_01030	gene	1056	hmeD			
FLGBHGLA_01040	CDS	210			COG2051	30S ribosomal protein S27e
FLGBHGLA_01040	gene	210				
FLGBHGLA_01050	CDS	1320	thiC	4.1.99.17		Phosphomethylpyrimidine synthase
FLGBHGLA_01050	gene	1320	thiC			
FLGBHGLA_01060	CDS	1125				hypothetical protein
FLGBHGLA_01060	gene	1125				
FLGBHGLA_01070	CDS	759	malK_1	3.6.3.19		Trehalose/maltose import ATP-binding protein MalK
FLGBHGLA_01070	gene	759	malK_1			
FLGBHGLA_01080	CDS	840				hypothetical protein
FLGBHGLA_01080	gene	840				
FLGBHGLA_01090	CDS	924				hypothetical protein
FLGBHGLA_01090	gene	924				
FLGBHGLA_01100	CDS	588				hypothetical protein
FLGBHGLA_01100	gene	588				
FLGBHGLA_01110	CDS	336	metG_1	6.1.1.10	COG0073	Methionine--tRNA ligase
FLGBHGLA_01110	gene	336	metG_1			
FLGBHGLA_01120	CDS	981				hypothetical protein
FLGBHGLA_01120	gene	981				
FLGBHGLA_01130	CDS	882				hypothetical protein
FLGBHGLA_01130	gene	882				
FLGBHGLA_01140	CDS	294				hypothetical protein
FLGBHGLA_01140	gene	294				
FLGBHGLA_01150	CDS	801				hypothetical protein
FLGBHGLA_01150	gene	801				
FLGBHGLA_01160	CDS	573				hypothetical protein
FLGBHGLA_01160	gene	573				
FLGBHGLA_01170	CDS	786				hypothetical protein
FLGBHGLA_01170	gene	786				
FLGBHGLA_01180	CDS	816			COG1136	putative ABC transporter ATP-binding protein
FLGBHGLA_01180	gene	816				
FLGBHGLA_01190	CDS	369				hypothetical protein
FLGBHGLA_01190	gene	369				
FLGBHGLA_01200	CDS	543	endA	4.6.1.16	COG1676	tRNA-splicing endonuclease
FLGBHGLA_01200	gene	543	endA			
FLGBHGLA_01210	CDS	693				hypothetical protein
FLGBHGLA_01210	gene	693				
FLGBHGLA_01220	CDS	549	lrpA		COG1522	HTH-type transcriptional regulator LrpA
FLGBHGLA_01220	gene	549	lrpA			
FLGBHGLA_01230	CDS	630	egtC	3.5.1.118		Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase
FLGBHGLA_01230	gene	630	egtC			
FLGBHGLA_01240	CDS	231				hypothetical protein
FLGBHGLA_01240	gene	231				
FLGBHGLA_01250	CDS	777				hypothetical protein
FLGBHGLA_01250	gene	777				
FLGBHGLA_01260	CDS	1794				hypothetical protein
FLGBHGLA_01260	gene	1794				
FLGBHGLA_01270	CDS	687	trmJ	2.1.1.-	COG0565	tRNA (cytidine-2'-O-)-methyltransferase TrmJ
FLGBHGLA_01270	gene	687	trmJ			
FLGBHGLA_01280	CDS	591				hypothetical protein
FLGBHGLA_01280	gene	591				
FLGBHGLA_01290	CDS	2436	tmcA_1	2.3.1.193		tRNA(Met) cytidine acetyltransferase TmcA
FLGBHGLA_01290	gene	2436	tmcA_1			
FLGBHGLA_01300	CDS	699	tatD	3.1.21.-		Tat-linked quality control protein TatD
FLGBHGLA_01300	gene	699	tatD			
FLGBHGLA_01310	CDS	591	yfbR	3.1.3.89		5'-deoxynucleotidase YfbR
FLGBHGLA_01310	gene	591	yfbR			
FLGBHGLA_01320	CDS	1245				hypothetical protein
FLGBHGLA_01320	gene	1245				
FLGBHGLA_01330	CDS	1266	cysH_1	1.8.4.8		Phosphoadenosine phosphosulfate reductase
FLGBHGLA_01330	gene	1266	cysH_1			
FLGBHGLA_01340	CDS	798				hypothetical protein
FLGBHGLA_01340	gene	798				
FLGBHGLA_01350	CDS	447				hypothetical protein
FLGBHGLA_01350	gene	447				
FLGBHGLA_01360	CDS	729				hypothetical protein
FLGBHGLA_01360	gene	729				
FLGBHGLA_01370	CDS	819				hypothetical protein
FLGBHGLA_01370	gene	819				
FLGBHGLA_01380	CDS	792				hypothetical protein
FLGBHGLA_01380	gene	792				
FLGBHGLA_01390	CDS	1290	basB			Chemotactic signal transduction system substrate-binding protein BasB
FLGBHGLA_01390	gene	1290	basB			
FLGBHGLA_01400	CDS	1296				hypothetical protein
FLGBHGLA_01400	gene	1296				
FLGBHGLA_01410	CDS	678				hypothetical protein
FLGBHGLA_01410	gene	678				
FLGBHGLA_01420	CDS	516				hypothetical protein
FLGBHGLA_01420	gene	516				
FLGBHGLA_01430	CDS	201				hypothetical protein
FLGBHGLA_01430	gene	201				
FLGBHGLA_01440	CDS	444			COG0589	Universal stress protein
FLGBHGLA_01440	gene	444				
FLGBHGLA_01450	CDS	1680	dbpA	3.6.4.13		ATP-dependent RNA helicase DbpA
FLGBHGLA_01450	gene	1680	dbpA			
FLGBHGLA_01460	CDS	960	malK_2	3.6.3.19		Trehalose/maltose import ATP-binding protein MalK
FLGBHGLA_01460	gene	960	malK_2			
FLGBHGLA_01470	CDS	768				hypothetical protein
FLGBHGLA_01470	gene	768				
FLGBHGLA_01480	CDS	288				hypothetical protein
FLGBHGLA_01480	gene	288				
FLGBHGLA_01490	CDS	858				hypothetical protein
FLGBHGLA_01490	gene	858				
FLGBHGLA_01500	CDS	126				hypothetical protein
FLGBHGLA_01500	gene	126				
FLGBHGLA_01510	CDS	3057	leuS_1	6.1.1.4	COG0495	Leucine--tRNA ligase
FLGBHGLA_01510	gene	3057	leuS_1			
FLGBHGLA_01520	CDS	294	rpoK	2.7.7.6	COG1758	DNA-directed RNA polymerase subunit K
FLGBHGLA_01520	gene	294	rpoK			
FLGBHGLA_01530	CDS	906				hypothetical protein
FLGBHGLA_01530	gene	906				
FLGBHGLA_01540	CDS	489				hypothetical protein
FLGBHGLA_01540	gene	489				
FLGBHGLA_01550	CDS	567				hypothetical protein
FLGBHGLA_01550	gene	567				
FLGBHGLA_01560	CDS	594	pdxT	4.3.3.6	COG0311	Pyridoxal 5'-phosphate synthase subunit PdxT
FLGBHGLA_01560	gene	594	pdxT			
FLGBHGLA_01570	CDS	1029	pdxS	4.3.3.6	COG0214	Pyridoxal 5'-phosphate synthase subunit PdxS
FLGBHGLA_01570	gene	1029	pdxS			
FLGBHGLA_01580	CDS	276			COG1958	Putative snRNP Sm-like protein
FLGBHGLA_01580	gene	276				
FLGBHGLA_01590	CDS	1206	mat	2.5.1.6	COG1812	S-adenosylmethionine synthase
FLGBHGLA_01590	gene	1206	mat			
FLGBHGLA_01600	CDS	279				hypothetical protein
FLGBHGLA_01600	gene	279				
FLGBHGLA_01610	CDS	585		2.1.1.-	COG2813	putative S-adenosylmethionine-dependent methyltransferase
FLGBHGLA_01610	gene	585				
FLGBHGLA_01620	CDS	192				hypothetical protein
FLGBHGLA_01620	gene	192				
FLGBHGLA_01630	CDS	612	malK_3	3.6.3.19		Trehalose/maltose import ATP-binding protein MalK
FLGBHGLA_01630	gene	612	malK_3			
FLGBHGLA_01640	CDS	1755				hypothetical protein
FLGBHGLA_01640	gene	1755				
FLGBHGLA_01650	CDS	726			COG1136	putative ABC transporter ATP-binding protein
FLGBHGLA_01650	gene	726				
FLGBHGLA_01660	CDS	543				hypothetical protein
FLGBHGLA_01660	gene	543				
FLGBHGLA_01670	CDS	1386	purD	6.3.4.13		Phosphoribosylamine--glycine ligase
FLGBHGLA_01670	gene	1386	purD			
FLGBHGLA_01680	CDS	696				hypothetical protein
FLGBHGLA_01680	gene	696				
FLGBHGLA_01690	CDS	792	der			GTPase Der
FLGBHGLA_01690	gene	792	der			
FLGBHGLA_01700	CDS	882	mptN	6.3.2.33	COG0189	Tetrahydromethanopterin:alpha-L-glutamate ligase
FLGBHGLA_01700	gene	882	mptN			
FLGBHGLA_01710	CDS	348				hypothetical protein
FLGBHGLA_01710	gene	348				
FLGBHGLA_01720	CDS	378				hypothetical protein
FLGBHGLA_01720	gene	378				
FLGBHGLA_01730	CDS	1779	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
FLGBHGLA_01730	gene	1779	glmS_1			
FLGBHGLA_01740	CDS	735	rsxB_1			Electron transport complex subunit RsxB
FLGBHGLA_01740	gene	735	rsxB_1			
FLGBHGLA_01750	CDS	636	porD_1		COG1144	Pyruvate synthase subunit PorD
FLGBHGLA_01750	gene	636	porD_1			
FLGBHGLA_01760	CDS	294	albA1			DNA/RNA-binding protein Alba 1
FLGBHGLA_01760	gene	294	albA1			
FLGBHGLA_01770	CDS	321				hypothetical protein
FLGBHGLA_01770	gene	321				
FLGBHGLA_01780	CDS	273				hypothetical protein
FLGBHGLA_01780	gene	273				
FLGBHGLA_01790	CDS	708	hisF_1	4.1.3.-	COG0107	Imidazole glycerol phosphate synthase subunit HisF
FLGBHGLA_01790	gene	708	hisF_1			
FLGBHGLA_01800	CDS	615		3.6.-.-	COG3642	KEOPS complex subunit Bud32
FLGBHGLA_01800	gene	615				
FLGBHGLA_01810	CDS	567		3.6.1.66	COG0127	dITP/XTP pyrophosphatase
FLGBHGLA_01810	gene	567				
FLGBHGLA_01820	CDS	459			COG0099	30S ribosomal protein S13
FLGBHGLA_01820	gene	459				
FLGBHGLA_01830	CDS	501	rps4		COG0522	30S ribosomal protein S4
FLGBHGLA_01830	gene	501	rps4			
FLGBHGLA_01840	CDS	393			COG0100	30S ribosomal protein S11
FLGBHGLA_01840	gene	393				
FLGBHGLA_01850	CDS	852	rpoD	2.7.7.6	COG0202	DNA-directed RNA polymerase subunit D
FLGBHGLA_01850	gene	852	rpoD			
FLGBHGLA_01860	CDS	357			COG1727	50S ribosomal protein L18e
FLGBHGLA_01860	gene	357				
FLGBHGLA_01870	CDS	447			COG0102	50S ribosomal protein L13
FLGBHGLA_01870	gene	447				
FLGBHGLA_01880	CDS	447	rps9		COG0103	30S ribosomal protein S9
FLGBHGLA_01880	gene	447	rps9			
FLGBHGLA_01890	CDS	171	rpoN	2.7.7.6	COG1644	DNA-directed RNA polymerase subunit N
FLGBHGLA_01890	gene	171	rpoN			
FLGBHGLA_01900	CDS	639	rps2		COG0052	30S ribosomal protein S2
FLGBHGLA_01900	gene	639	rps2			
FLGBHGLA_01910	CDS	240	fdxA		COG1141	Ferredoxin
FLGBHGLA_01910	gene	240	fdxA			
FLGBHGLA_01920	CDS	246				hypothetical protein
FLGBHGLA_01920	gene	246				
FLGBHGLA_01930	CDS	2826		3.6.4.12	COG1204	ATP-dependent DNA helicase Hel308
FLGBHGLA_01930	gene	2826				
FLGBHGLA_01940	CDS	1389				hypothetical protein
FLGBHGLA_01940	gene	1389				
FLGBHGLA_01950	CDS	375				hypothetical protein
FLGBHGLA_01950	gene	375				
FLGBHGLA_01960	CDS	738				hypothetical protein
FLGBHGLA_01960	gene	738				
FLGBHGLA_01970	CDS	309				hypothetical protein
FLGBHGLA_01970	gene	309				
FLGBHGLA_01980	CDS	2706	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
FLGBHGLA_01980	gene	2706	alaS			
FLGBHGLA_01990	CDS	1467				hypothetical protein
FLGBHGLA_01990	gene	1467				
FLGBHGLA_02000	CDS	1035	pqqE_1			Coenzyme PQQ synthesis protein E
FLGBHGLA_02000	gene	1035	pqqE_1			
FLGBHGLA_02010	CDS	1386		2.7.2.4	COG0527	putative aspartokinase
FLGBHGLA_02010	gene	1386				
FLGBHGLA_02020	CDS	162				hypothetical protein
FLGBHGLA_02020	gene	162				
FLGBHGLA_02030	CDS	1329	gatD	6.3.5.-	COG0252	Glutamyl-tRNA(Gln) amidotransferase subunit D
FLGBHGLA_02030	gene	1329	gatD			
FLGBHGLA_02040	CDS	729				hypothetical protein
FLGBHGLA_02040	gene	729				
FLGBHGLA_02050	CDS	255				hypothetical protein
FLGBHGLA_02050	gene	255				
FLGBHGLA_02060	CDS	306	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
FLGBHGLA_02060	gene	306	ogt			
FLGBHGLA_02070	CDS	369				hypothetical protein
FLGBHGLA_02070	gene	369				
FLGBHGLA_02080	CDS	945	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
FLGBHGLA_02080	gene	945	ruvB_1			
FLGBHGLA_02090	CDS	1287				hypothetical protein
FLGBHGLA_02090	gene	1287				
FLGBHGLA_02100	CDS	345				hypothetical protein
FLGBHGLA_02100	gene	345				
FLGBHGLA_02110	CDS	777				hypothetical protein
FLGBHGLA_02110	gene	777				
FLGBHGLA_02120	CDS	303				hypothetical protein
FLGBHGLA_02120	gene	303				
FLGBHGLA_02130	CDS	831			COG2123	Exosome complex component Rrp42
FLGBHGLA_02130	gene	831				
FLGBHGLA_02140	CDS	726		3.1.13.-	COG0689	Exosome complex component Rrp41
FLGBHGLA_02140	gene	726				
FLGBHGLA_02150	CDS	720	rrp4		COG1097	Exosome complex component Rrp4
FLGBHGLA_02150	gene	720	rrp4			
FLGBHGLA_02160	CDS	711				hypothetical protein
FLGBHGLA_02160	gene	711				
FLGBHGLA_02170	CDS	486				hypothetical protein
FLGBHGLA_02170	gene	486				
FLGBHGLA_02180	CDS	309				hypothetical protein
FLGBHGLA_02180	gene	309				
FLGBHGLA_02190	CDS	789	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
FLGBHGLA_02190	gene	789	aroE			
FLGBHGLA_02200	CDS	1194				hypothetical protein
FLGBHGLA_02200	gene	1194				
FLGBHGLA_02210	CDS	291				hypothetical protein
FLGBHGLA_02210	gene	291				
FLGBHGLA_02220	CDS	849	thiL_1	2.7.4.16	COG0611	Thiamine-monophosphate kinase
FLGBHGLA_02220	gene	849	thiL_1			
FLGBHGLA_02230	CDS	2379	ileS_1	6.1.1.5	COG0060	Isoleucine--tRNA ligase
FLGBHGLA_02230	gene	2379	ileS_1			
FLGBHGLA_02240	CDS	1209	herA_1	3.6.4.12	COG0433	DNA double-strand break repair helicase HerA
FLGBHGLA_02240	gene	1209	herA_1			
FLGBHGLA_02250	CDS	546		2.7.4.3	COG1936	Putative adenylate kinase
FLGBHGLA_02250	gene	546				
FLGBHGLA_02260	CDS	858			COG1082	putative protein
FLGBHGLA_02260	gene	858				
FLGBHGLA_02270	CDS	543	dcd	3.5.4.30	COG0717	dCTP deaminase, dUMP-forming
FLGBHGLA_02270	gene	543	dcd			
FLGBHGLA_02280	CDS	357				hypothetical protein
FLGBHGLA_02280	gene	357				
FLGBHGLA_02290	CDS	234				hypothetical protein
FLGBHGLA_02290	gene	234				
FLGBHGLA_02300	CDS	909	pyrD	1.3.-.-		Dihydroorotate dehydrogenase
FLGBHGLA_02300	gene	909	pyrD			
FLGBHGLA_02310	CDS	867				hypothetical protein
FLGBHGLA_02310	gene	867				
FLGBHGLA_02320	CDS	657	queE_2	4.3.99.3		7-carboxy-7-deazaguanine synthase
FLGBHGLA_02320	gene	657	queE_2			
FLGBHGLA_02330	CDS	387	rpl7ae		COG1358	50S ribosomal protein L7Ae
FLGBHGLA_02330	gene	387	rpl7ae			
FLGBHGLA_02340	CDS	1326				hypothetical protein
FLGBHGLA_02340	gene	1326				
FLGBHGLA_02350	CDS	399				hypothetical protein
FLGBHGLA_02350	gene	399				
FLGBHGLA_02360	CDS	531	gpt_1	2.4.2.22		Xanthine phosphoribosyltransferase
FLGBHGLA_02360	gene	531	gpt_1			
FLGBHGLA_02370	CDS	294				hypothetical protein
FLGBHGLA_02370	gene	294				
FLGBHGLA_02380	CDS	753				hypothetical protein
FLGBHGLA_02380	gene	753				
FLGBHGLA_02390	CDS	663	trkA		COG0569	Trk system potassium uptake protein TrkA 
FLGBHGLA_02390	gene	663	trkA			
FLGBHGLA_02400	CDS	309				hypothetical protein
FLGBHGLA_02400	gene	309				
FLGBHGLA_02410	CDS	687				hypothetical protein
FLGBHGLA_02410	gene	687				
FLGBHGLA_02420	CDS	675				hypothetical protein
FLGBHGLA_02420	gene	675				
FLGBHGLA_02430	CDS	435			COG1325	RNA-binding protein
FLGBHGLA_02430	gene	435				
FLGBHGLA_02440	CDS	438				hypothetical protein
FLGBHGLA_02440	gene	438				
FLGBHGLA_02450	CDS	627		3.1.3.3	COG0560	Phosphoserine phosphatase
FLGBHGLA_02450	gene	627				
FLGBHGLA_02460	CDS	2670	rpoA1	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit A'
